Cu_Si_8_11_19

08.11.2019 11:56
Sekunden	Kelvin	Ohm	Ohm	Ohm
Zeit	Temperatur	R_Probe_1	R_Thermometer	R_Probe_2
7.300249E+2	8.968946E+1	4.288900E-1	2.563980E+1	1.421000E+3
7.310249E+2	9.010876E+1	4.329100E-1	2.582300E+1	1.405100E+3
7.320247E+2	9.044888E+1	4.370100E-1	2.597160E+1	1.405200E+3
7.330246E+2	9.080524E+1	4.408800E-1	2.612730E+1	1.396200E+3
7.340266E+2	9.117580E+1	4.445000E-1	2.628920E+1	1.391500E+3
7.350266E+2	9.152415E+1	4.483300E-1	2.644140E+1	1.368900E+3
7.360268E+2	9.187205E+1	4.520700E-1	2.659340E+1	1.361800E+3
7.370267E+2	9.188120E+1	4.558400E-1	2.659740E+1	1.354200E+3
7.380267E+2	9.254587E+1	4.592100E-1	2.688780E+1	1.362900E+3
7.390273E+2	9.288461E+1	4.625700E-1	2.703580E+1	1.339800E+3
7.400265E+2	9.323250E+1	4.662800E-1	2.718780E+1	1.345900E+3
7.410267E+2	9.354927E+1	4.697100E-1	2.732620E+1	1.295700E+3
7.420267E+2	9.388435E+1	4.731400E-1	2.747260E+1	1.280300E+3
7.430267E+2	9.420524E+1	4.769700E-1	2.761280E+1	1.307500E+3
7.440266E+2	9.448150E+1	4.800200E-1	2.773350E+1	1.304700E+3
7.450266E+2	9.480078E+1	4.833000E-1	2.787300E+1	1.277400E+3
7.460267E+2	9.510977E+1	4.866400E-1	2.800800E+1	1.269200E+3
7.470264E+2	9.537481E+1	4.897800E-1	2.812380E+1	1.294500E+3
7.480266E+2	9.572477E+1	4.928900E-1	2.827670E+1	1.268900E+3
7.490265E+2	9.604772E+1	4.962800E-1	2.841780E+1	1.240000E+3
7.500267E+2	9.632466E+1	4.992200E-1	2.853880E+1	1.239000E+3
7.510265E+2	9.660298E+1	5.020900E-1	2.866040E+1	1.253200E+3
7.520262E+2	9.690304E+1	5.052100E-1	2.879150E+1	1.231500E+3
7.530264E+2	9.718822E+1	5.082400E-1	2.891610E+1	1.202700E+3
7.540270E+2	9.733837E+1	5.110700E-1	2.898170E+1	1.150000E+3
7.550264E+2	9.734866E+1	5.136400E-1	2.898620E+1	1.138000E+3
7.560264E+2	9.725551E+1	5.165200E-1	2.894550E+1	1.134000E+3
7.570263E+2	9.709186E+1	5.188100E-1	2.887400E+1	1.099700E+3
7.580263E+2	9.689434E+1	5.208900E-1	2.878770E+1	1.048500E+3
7.590262E+2	9.663479E+1	5.228300E-1	2.867430E+1	1.041100E+3
7.600263E+2	9.632466E+1	5.245800E-1	2.853880E+1	1.013300E+3
7.610262E+2	9.603581E+1	5.261300E-1	2.841260E+1	1.051500E+3
7.620263E+2	9.580167E+1	5.272200E-1	2.831030E+1	1.016100E+3
7.630262E+2	9.553846E+1	5.280900E-1	2.819530E+1	1.009300E+3
7.640260E+2	9.531279E+1	5.288200E-1	2.809670E+1	1.020500E+3
7.650262E+2	9.505598E+1	5.294400E-1	2.798450E+1	1.000100E+3
7.660262E+2	9.484679E+1	5.299400E-1	2.789310E+1	9.873000E+2
7.670263E+2	9.461356E+1	5.299900E-1	2.779120E+1	9.872000E+2
7.680261E+2	9.438857E+1	5.302200E-1	2.769290E+1	9.936000E+2
7.690262E+2	9.421211E+1	5.304100E-1	2.761580E+1	1.001400E+3
8.400279E+2	9.454444E+1	5.306300E-1	2.776100E+1	9.678000E+2
8.410279E+2	9.463851E+1	5.316200E-1	2.780210E+1	9.653000E+2
8.420278E+2	9.473418E+1	5.326600E-1	2.784390E+1	9.623000E+2
8.430278E+2	9.483054E+1	5.337100E-1	2.788600E+1	9.598000E+2
8.440280E+2	9.492506E+1	5.345300E-1	2.792730E+1	9.575000E+2
